ID,X,Y,Z,E
1001,22.2205,-21.128,18.6,3.38697
1001,5.89807,17.5104,18.6,3.80627
1001,21.7642,20.5137,18.6,3.21769
1001,12.3898,-12.849,18.6,3.60651
1001,14.4043,1.63574,18.6,3.68814
1001,21.0401,4.59328,18.6,9.65069
1001,-13.7689,-4.43449,18.6,3.5095
1001,-13.1011,9.75784,18.6,3.24721
1001,-3.71025,12.1542,18.6,4.01053
1001,-1.84618,14.9078,18.6,3.79235
1001,13.8818,3.6817,18.6,3.76425
1001,-9.85352,11.8857,18.6,3.67368
1001,-4.24099,3.78437,18.6,3.55707
1001,-22.5827,-1.16397,18.6,4.09011
1001,-14.3998,4.74616,18.6,3.71211
1001,19.2243,11.2708,18.6,3.85739
1001,-14.8721,-15.1561,18.6,4.12933
1001,-9.50915,-2.01924,18.6,3.81433
1001,-14.9695,-18.4348,18.6,3.49122
1001,8.58524,19.5889,18.6,3.64678
1001,1.83821,-18.5181,18.6,3.91537
1001,-16.0832,-3.04144,18.6,11.2481
1001,9.57863,7.57917,18.6,2.282
1001,10.4906,9.17356,18.6,4.11276
1001,-0.795268,-7.6579,18.6,3.29458
1001,18.7644,23.5172,18.6,4.02913
1001,10.8739,5.004,18.6,3.72548
1001,12.8248,-14.8668,18.6,4.1233
1001,13.194,12.1593,18.6,3.62811
1001,21.056,14.2064,18.6,7.26664
1001,-6.57155,-15.02,18.6,3.85011
1001,-14.5237,9.5737,18.6,5.79373
1001,-4.70723,-6.55668,18.6,4.37937
1001,2.69767,-12.5968,18.6,3.9381
1001,2.06282,8.59272,18.6,3.69285
1001,8.98572,-18.4209,18.6,3.37869
1001,-14.6038,-7.29527,18.6,3.67853
1001,-12.686,-9.42896,18.6,3.35888
1001,-8.01636,15.1939,18.6,3.64079
1001,13.0786,-17.5692,18.6,3.71929
1001,-16.8161,-19.1521,18.6,3.72684
1001,6.06195,-23.7458,18.6,3.62924
1001,18.4783,8.94282,18.6,3.34881
1001,4.73333,4.05831,18.6,3.47669
1001,-16.9751,9.54214,18.6,3.63775
1001,13.9341,2.79873,18.6,3.20256
1001,14.8378,7.37805,18.6,7.93635
1001,10.9175,-2.66227,18.6,3.29893
